compression_rank,threshold,total_frames,novel_frames,ignored_frames,forwarding_ratio,reduction_percentage,avg_gate_ms,avg_ai_infer_ms,avg_ai_e2e_ms,avg_fps,avg_ms_per_frame,avg_cpu_percent,avg_memory_mb,precision,recall,f1_score,filter_accuracy
10,0.0100,118,67,51,0.5678,43.22,37.9389,51.4818,67.1737,14.89,67.1737,638.68,388.50,0.0896,0.4000,0.1463,0.4068
10,0.0500,118,12,106,0.1017,89.83,39.9270,48.6400,44.8761,22.28,44.8761,309.61,388.94,0.0000,0.0000,0.0000,0.7712
10,0.1000,118,2,116,0.0169,98.31,40.4770,48.4691,41.3010,24.21,41.3010,58.05,389.13,0.0000,0.0000,0.0000,0.8559
10,0.1500,118,1,117,0.0085,99.15,40.6277,48.2414,41.0390,24.37,41.0390,27.95,389.15,0.0000,0.0000,0.0000,0.8644
10,0.2000,118,1,117,0.0085,99.15,40.0542,48.8911,40.4709,24.71,40.4709,22.11,389.18,0.0000,0.0000,0.0000,0.8644
20,0.0100,118,65,53,0.5508,44.92,37.3875,49.7451,64.7930,15.43,64.7930,664.28,390.10,0.1385,0.6000,0.2250,0.4746
20,0.0500,118,10,108,0.0847,91.53,40.2095,53.4699,44.7436,22.35,44.7436,235.45,390.17,0.1000,0.0667,0.0800,0.8051
20,0.1000,118,1,117,0.0085,99.15,43.3644,49.0804,43.7830,22.84,43.7830,25.66,390.22,0.0000,0.0000,0.0000,0.8644
20,0.1500,118,1,117,0.0085,99.15,44.3952,52.6812,44.8441,22.30,44.8441,28.29,390.25,0.0000,0.0000,0.0000,0.8644
20,0.2000,118,1,117,0.0085,99.15,43.2677,50.6687,43.6998,22.88,43.6998,26.83,390.29,0.0000,0.0000,0.0000,0.8644
30,0.0100,118,58,60,0.4915,50.85,39.6312,50.2721,64.3447,15.54,64.3447,532.08,390.38,0.1552,0.6000,0.2466,0.5339
30,0.0500,118,8,110,0.0678,93.22,42.4771,50.2439,45.8860,21.79,45.8860,179.60,390.44,0.0000,0.0000,0.0000,0.8051
30,0.1000,118,1,117,0.0085,99.15,44.7067,49.3650,45.1276,22.16,45.1276,28.02,390.47,0.0000,0.0000,0.0000,0.8644
30,0.1500,118,1,117,0.0085,99.15,44.4767,49.3870,44.8977,22.27,44.8977,19.16,390.51,0.0000,0.0000,0.0000,0.8644
30,0.2000,118,1,117,0.0085,99.15,39.8052,46.9313,40.2054,24.87,40.2054,30.03,390.56,0.0000,0.0000,0.0000,0.8644
40,0.0100,118,57,61,0.4831,51.69,37.5284,50.2396,61.8002,16.18,61.8002,584.05,390.64,0.1579,0.6000,0.2500,0.5424
40,0.0500,118,7,111,0.0593,94.07,39.6628,47.8818,42.5060,23.53,42.5060,150.44,390.68,0.0000,0.0000,0.0000,0.8136
40,0.1000,118,1,117,0.0085,99.15,40.5028,46.8309,40.9022,24.45,40.9022,37.04,390.76,0.0000,0.0000,0.0000,0.8644
40,0.1500,118,1,117,0.0085,99.15,40.0241,49.3288,40.4447,24.73,40.4447,28.18,390.80,0.0000,0.0000,0.0000,0.8644
40,0.2000,118,1,117,0.0085,99.15,40.1811,48.6372,40.5958,24.63,40.5958,14.13,390.83,0.0000,0.0000,0.0000,0.8644
50,0.0100,118,51,67,0.4322,56.78,38.6789,49.3115,59.9952,16.67,59.9952,545.90,391.08,0.1765,0.6000,0.2727,0.5932
50,0.0500,118,7,111,0.0593,94.07,44.7920,49.0070,47.7022,20.96,47.7022,144.66,391.11,0.0000,0.0000,0.0000,0.8136
50,0.1000,118,1,117,0.0085,99.15,40.6144,53.2458,41.0683,24.35,41.0683,15.41,391.15,0.0000,0.0000,0.0000,0.8644
50,0.1500,118,1,117,0.0085,99.15,40.1862,46.9577,40.5867,24.64,40.5867,19.45,391.20,0.0000,0.0000,0.0000,0.8644
50,0.2000,118,1,117,0.0085,99.15,40.4388,51.6632,40.8792,24.46,40.8792,15.33,391.24,0.0000,0.0000,0.0000,0.8644
