compression_rank,threshold,forwarding_ratio,reduction_percentage,avg_fps,avg_ms_per_frame,avg_ai_infer_ms,precision,recall,f1_score,time_saved_percent,ai_calls_reduction_percent,cpu_saved_percent,memory_saved_percent
10,0.0100,0.6000,40.00,34.23,29.2181,0.1980,,,,-11059.13,40.00,0.00,-6.29
10,0.0500,0.6000,40.00,40.08,24.9498,0.2112,,,,-9428.96,40.00,0.00,-6.71
10,0.1000,0.2000,80.00,50.04,19.9841,0.1755,,,,-7532.45,80.00,0.00,-6.85
10,0.1500,0.2000,80.00,49.10,20.3675,0.2012,,,,-7678.86,80.00,0.00,-6.91
10,0.2000,0.2000,80.00,41.98,23.8227,0.1588,,,,-8998.49,80.00,0.00,-6.92
20,0.0100,0.6000,40.00,46.83,21.3521,0.1602,,,,-8054.89,40.00,0.00,-7.00
20,0.0500,0.2000,80.00,41.43,24.1371,0.1488,,,,-9118.56,80.00,0.00,-7.04
20,0.1000,0.2000,80.00,37.76,26.4838,0.1576,,,,-10014.84,80.00,0.00,-7.04
20,0.1500,0.2000,80.00,39.83,25.1086,0.1891,,,,-9489.60,80.00,0.00,-7.04
20,0.2000,0.2000,80.00,45.01,22.2187,0.1431,,,,-8385.87,80.00,0.00,-7.05
30,0.0100,0.6000,40.00,47.27,21.1554,0.1785,,,,-7979.77,40.00,0.00,-7.11
30,0.0500,0.2000,80.00,43.47,23.0063,0.1602,,,,-8686.69,80.00,0.00,-7.12
30,0.1000,0.2000,80.00,41.16,24.2971,0.1740,,,,-9179.68,80.00,0.00,-7.12
30,0.1500,0.2000,80.00,45.94,21.7657,0.1564,,,,-8212.88,80.00,0.00,-7.13
30,0.2000,0.2000,80.00,48.55,20.5954,0.1497,,,,-7765.91,80.00,0.00,-7.13
40,0.0100,0.4000,60.00,43.57,22.9512,0.2546,,,,-8665.63,60.00,0.00,-7.27
40,0.0500,0.2000,80.00,41.61,24.0339,0.1490,,,,-9079.15,80.00,0.00,-7.27
40,0.1000,0.2000,80.00,42.57,23.4891,0.1812,,,,-8871.08,80.00,0.00,-7.27
40,0.1500,0.2000,80.00,41.96,23.8299,0.1538,,,,-9001.26,80.00,0.00,-7.27
40,0.2000,0.2000,80.00,43.91,22.7716,0.1454,,,,-8597.07,80.00,0.00,-7.27
50,0.0100,0.4000,60.00,41.09,24.3389,0.1614,,,,-9195.63,60.00,0.00,-7.36
50,0.0500,0.2000,80.00,37.12,26.9432,0.2325,,,,-10190.29,80.00,0.00,-7.40
50,0.1000,0.2000,80.00,35.44,28.2173,0.1900,,,,-10676.89,80.00,0.00,-7.47
50,0.1500,0.2000,80.00,39.35,25.4160,0.1528,,,,-9607.03,80.00,0.00,-7.49
50,0.2000,0.2000,80.00,40.21,24.8671,0.1476,,,,-9397.38,80.00,0.00,-7.53
